iter	Passed	Remaining
0	148	148155
1	151	75441
2	153	51096
3	156	38892
4	158	31519
5	160	26567
6	162	23004
7	163	20328
8	165	18243
9	167	16579
10	168	15173
11	170	14014
12	171	13024
13	172	12170
14	174	11429
15	175	10766
16	176	10187
17	177	9670
18	178	9222
19	179	8806
20	180	8425
21	181	8079
22	182	7761
23	183	7469
24	184	7199
25	185	6955
26	186	6719
27	187	6505
28	188	6310
29	189	6123
30	190	5946
31	191	5783
32	192	5632
33	193	5489
34	194	5354
35	195	5227
36	196	5104
37	197	4990
38	198	4882
39	199	4777
40	200	4678
41	200	4583
42	201	4492
43	202	4408
44	203	4326
45	204	4250
46	205	4173
47	206	4100
48	207	4030
49	208	3963
50	209	3899
51	210	3837
52	211	3777
53	212	3722
54	213	3666
55	214	3613
56	215	3560
57	216	3511
58	217	3463
59	218	3416
60	219	3371
61	219	3326
62	220	3283
63	221	3243
64	222	3203
65	223	3163
66	224	3126
67	224	3083
68	225	3047
69	226	3011
70	227	2977
71	228	2944
72	229	2910
73	230	2879
74	231	2850
75	231	2820
76	232	2791
77	233	2762
78	234	2736
79	235	2710
80	236	2683
81	237	2657
82	238	2632
83	239	2609
84	239	2582
85	240	2558
86	241	2533
87	242	2512
88	243	2489
89	244	2467
90	244	2447
91	245	2426
92	246	2407
93	247	2388
94	248	2370
95	249	2354
96	250	2336
97	252	2320
98	253	2304
99	254	2288
100	255	2273
101	255	2253
102	257	2238
103	258	2222
104	259	2207
105	259	2192
106	260	2178
107	261	2163
108	262	2149
109	263	2134
110	264	2119
111	265	2105
112	266	2091
113	267	2078
114	268	2066
115	269	2051
116	270	2039
117	271	2026
118	271	2012
119	272	2000
120	273	1988
121	274	1977
122	275	1962
123	276	1951
124	277	1941
125	278	1934
126	279	1923
127	280	1910
128	281	1900
129	282	1891
130	283	1881
131	284	1872
132	285	1861
133	286	1852
134	287	1842
135	288	1833
136	289	1825
137	290	1816
138	291	1807
139	292	1798
140	293	1789
141	294	1780
142	295	1771
143	296	1763
144	297	1754
145	298	1746
146	299	1737
147	300	1729
148	301	1720
149	302	1712
150	303	1704
151	304	1696
152	305	1689
153	306	1681
154	307	1674
155	308	1666
156	309	1659
157	309	1651
158	311	1645
159	311	1637
160	312	1630
161	313	1623
162	314	1616
163	315	1609
164	316	1603
165	317	1596
166	318	1590
167	319	1583
168	320	1577
169	321	1571
170	322	1565
171	323	1558
172	324	1553
173	325	1547
174	326	1541
175	328	1535
176	328	1529
177	329	1523
178	330	1517
179	331	1512
180	332	1504
181	333	1499
182	334	1493
183	335	1488
184	336	1483
185	337	1477
186	338	1471
187	339	1467
188	340	1461
189	341	1456
190	342	1450
191	343	1445
192	344	1440
193	345	1435
194	346	1430
195	347	1425
196	348	1420
197	349	1415
198	350	1410
199	351	1405
200	352	1400
201	353	1395
202	354	1391
203	355	1386
204	356	1381
205	357	1377
206	358	1372
207	359	1368
208	360	1364
209	361	1359
210	362	1355
211	363	1350
212	364	1347
213	365	1343
214	366	1339
215	368	1335
216	369	1332
217	370	1328
218	371	1324
219	372	1320
220	373	1316
221	374	1312
222	375	1309
223	376	1305
224	378	1302
225	379	1300
226	380	1297
227	382	1295
228	384	1292
229	385	1290
230	386	1288
231	388	1284
232	389	1281
233	390	1278
234	391	1275
235	392	1271
236	394	1268
237	395	1265
238	396	1262
239	397	1258
240	398	1254
241	399	1250
242	400	1247
243	401	1243
244	402	1239
245	403	1236
246	404	1232
247	405	1228
248	406	1225
249	407	1221
250	408	1218
251	409	1214
252	410	1211
253	411	1207
254	412	1203
255	413	1200
256	414	1197
257	415	1193
258	415	1190
259	416	1186
260	417	1183
261	418	1179
262	419	1176
263	420	1173
264	421	1169
265	422	1166
266	423	1163
267	424	1160
268	425	1156
269	426	1153
270	427	1150
271	428	1147
272	429	1144
273	430	1141
274	431	1138
275	432	1135
276	433	1132
277	434	1129
278	435	1126
279	436	1123
280	437	1120
281	439	1117
282	440	1115
283	441	1112
284	442	1109
285	443	1106
286	444	1103
287	445	1100
288	446	1097
289	447	1095
290	448	1092
291	449	1089
292	450	1086
293	451	1083
294	452	1080
295	453	1078
296	454	1075
297	455	1072
298	456	1070
299	457	1067
300	458	1064
301	459	1061
302	460	1059
303	461	1056
304	462	1053
305	463	1051
306	464	1048
307	465	1045
308	466	1043
309	467	1040
310	468	1037
311	469	1035
312	470	1032
313	471	1030
314	472	1027
315	473	1024
316	474	1022
317	475	1019
318	476	1017
319	477	1014
320	478	1011
321	479	1009
322	480	1006
323	481	1004
324	482	1002
325	483	999
326	484	997
327	485	995
328	486	992
329	487	990
330	488	987
331	489	985
332	490	982
333	491	980
334	492	977
335	493	975
336	494	972
337	495	970
338	496	968
339	497	966
340	498	963
341	499	961
342	500	959
343	501	956
344	502	954
345	503	952
346	504	949
347	505	947
348	506	945
349	508	943
350	509	941
351	510	939
352	511	936
353	512	934
354	513	932
355	514	929
356	515	927
357	516	926
358	517	923
359	518	921
360	519	919
361	520	916
362	521	914
363	522	912
364	523	910
365	524	908
366	525	906
367	526	904
368	527	901
369	528	899
370	529	897
371	530	895
372	531	893
373	532	891
374	533	889
375	534	887
376	535	885
377	536	883
378	537	881
379	538	879
380	539	877
381	540	875
382	541	872
383	542	870
384	544	869
385	545	867
386	546	865
387	547	863
388	548	861
389	549	859
390	550	857
391	551	855
392	552	853
393	553	851
394	554	849
395	555	847
396	556	845
397	557	843
398	558	841
399	559	839
400	560	837
401	561	835
402	562	833
403	563	831
404	565	830
405	566	828
406	567	826
407	568	824
408	569	823
409	570	821
410	571	819
411	572	817
412	573	815
413	574	813
414	575	811
415	576	810
416	577	808
417	579	806
418	580	804
419	581	802
420	582	800
421	583	798
422	584	796
423	585	794
424	586	792
425	587	791
426	588	789
427	589	787
428	590	785
429	590	783
430	591	781
431	592	779
432	593	777
433	594	775
434	595	774
435	596	772
436	597	770
437	598	768
438	599	766
439	601	764
440	602	763
441	603	761
442	604	759
443	605	758
444	606	756
445	607	754
446	609	753
447	610	752
448	611	750
449	612	749
450	614	747
451	615	746
452	616	744
453	618	743
454	620	742
455	621	741
456	623	740
457	624	739
458	625	737
